web-scraper-order,web-scraper-start-url,text_raw,price_raw,model_raw,type_year_km_transmission_fuel
1705078016-47,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=95","BMW M850 M850i xDrive SteptronicCHF 71'900ab CHF 1'151 / Monat5.5 / 6Occasion03.202164.300 kmAutomatBenzin9434 (SG)PreisCHF 71'900Finanzierungab CHF 1'151 / Monat5.5 / 6Anfragen MerkenDetails","CHF 71'900","M850i xDrive Steptronic","Occasion03.202164.300 kmAutomatBenzin9434 (SG)"
1705078016-48,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=95","BMW M3 M3 CoupéCHF 54'999ab CHF 881 / MonatOccasion02.2008107.500 kmManuellBenzin5430 (AG)PreisCHF 54'999Finanzierungab CHF 881 / MonatAnfragen MerkenDetails","CHF 54'999","M3 Coupé","Occasion02.2008107.500 kmManuellBenzin5430 (AG)"
1705078016-49,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=95","BMW M135 M135i xDrive SteptronicCHF 23'400ab CHF 375 / Monat3 / 6Occasion12.2015137.575 kmAutomatBenzin7013 (GR)PreisCHF 23'400Finanzierungab CHF 375 / Monat3 / 6Anfragen MerkenDetails","CHF 23'400","M135i xDrive Steptronic","Occasion12.2015137.575 kmAutomatBenzin7013 (GR)"
1705078016-50,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=95","BMW 118 118iCHF 7'900ab CHF 126 / Monat5 / 6Occasion12.200686.600 kmAutomatBenzin8957 (AG)PreisCHF 7'900Finanzierungab CHF 126 / Monat5 / 6Anfragen MerkenDetails","CHF 7'900","118i","Occasion12.200686.600 kmAutomatBenzin8957 (AG)"
1705078020-51,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=94","BMW 530 530d xDrive Touring SteptronicCHF 6'800ab CHF 109 / Monat6 / 6Occasion11.2011270.000 kmAutomatDiesel7000 (GR)PreisCHF 6'800Finanzierungab CHF 109 / Monat6 / 6Anfragen MerkenDetails","CHF 6'800","530d xDrive Touring Steptronic","Occasion11.2011270.000 kmAutomatDiesel7000 (GR)"
1705078020-52,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=94","BMW M550 M550d xDrive Touring SteptronicCHF 8'900ab CHF 143 / MonatOccasion11.2012223.000 kmAutomatDiesel7000 (GR)PreisCHF 8'900Finanzierungab CHF 143 / MonatAnfragen MerkenDetails","CHF 8'900","M550d xDrive Touring Steptronic","Occasion11.2012223.000 kmAutomatDiesel7000 (GR)"
1705078020-53,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=94","BMW X5 X5 xDrive M50d SteptronicCHF 39'900ab CHF 639 / Monat5 / 6Occasion09.2017102.000 kmAutomatDiesel6012 (LU)PreisCHF 39'900Finanzierungab CHF 639 / Monat5 / 6Anfragen MerkenDetails","CHF 39'900","X5 xDrive M50d Steptronic","Occasion09.2017102.000 kmAutomatDiesel6012 (LU)"
1705078020-54,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=94","BMW 535 535d SteptronicCHF 6'900ab CHF 110 / Monat5 / 6Occasion05.2008303.000 kmAutomatDiesel2545 (SO)PreisCHF 6'900Finanzierungab CHF 110 / Monat5 / 6Anfragen MerkenDetails","CHF 6'900","535d Steptronic","Occasion05.2008303.000 kmAutomatDiesel2545 (SO)"
1705078020-55,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=94","BMW 525 525d Touring SteptronicCHF 8'900ab CHF 143 / Monat5.5 / 6Occasion12.2010188.000 kmAutomatDiesel1007 (VD)PreisCHF 8'900Finanzierungab CHF 143 / Monat5.5 / 6Anfragen MerkenDetails","CHF 8'900","525d Touring Steptronic","Occasion12.2010188.000 kmAutomatDiesel1007 (VD)"
1705078020-56,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=94","BMW M4 M4 Coupé CS DKGCHF 83'000ab CHF 1'329 / Monat4.5 / 6Occasion12.201739.000 kmAutomatBenzin2542 (BE)PreisCHF 83'000Finanzierungab CHF 1'329 / Monat4.5 / 6Anfragen MerkenDetails","CHF 83'000","M4 Coupé CS DKG","Occasion12.201739.000 kmAutomatBenzin2542 (BE)"
