web-scraper-order,model_raw,Location,PLZ,Year,price,km,luxury,competition,xDrive,automat,km_cat,km_per_year,lat,lon
1705078081-217,M135i xDrive Steptronic,SZ,8854,2014,14900,208000.0,0,0,1,1,120k+,20800.0,47.174339294433594,8.906341552734375
1705078081-218,320d xDrive Steptronic,SO,2540,2019,23900,115000.0,0,0,1,1,50-120k,23000.0,47.20136260986328,7.386629104614258
1705078081-219,320d xDrive Touring Steptronic,SO,2540,2019,18500,124000.0,0,0,1,1,120k+,24800.0,47.20136260986328,7.386629104614258
1705078081-220,325i Steptronic,BE,3426,2007,2900,125000.0,0,0,0,1,120k+,7352.94,47.47785186767578,9.103507995605469
1705078084-221,M4 Cabrio Competition M xDrive,ZH,8051,2022,91500,6200.0,0,1,1,1,0-50k,3100.0,47.40443420410156,8.563179969787598
1705078084-222,320d xDrive Touring Luxury Line Steptronic,ZH,6340,2020,27900,100600.0,1,0,1,1,50-120k,25150.0,47.179317474365234,8.530610084533691
1705078084-223,218d Active Tourer M Sport DKG,ZH,8051,2022,34500,5700.0,0,0,0,1,0-50k,2850.0,47.40443420410156,8.563179969787598
1705078084-224,520d xDrive Touring Steptronic,AG,5417,2019,33900,77000.0,0,0,1,1,50-120k,15400.0,47.50249099731445,8.241069793701172
1705078084-225,116i,ZH,8143,2013,8500,173000.0,0,0,0,0,120k+,15727.27,47.29555130004883,8.507636070251465
1705078084-226,320d Edition M Sport Steptronic,SG,8717,2019,26900,66500.0,0,0,0,1,50-120k,13300.0,47.17914581298828,9.025117874145508
1705078084-227,X7 xDrive 48V 40d Steptronic,LU,6004,2022,87900,40700.0,0,0,1,1,0-50k,20350.0,46.312198638916016,7.896612644195557
1705078084-228,1er M Coupé,VS,1868,2012,54900,110000.0,0,0,0,0,50-120k,9166.67,46.285709381103516,6.942490577697754
1705078084-229,M4 CSL Coupé,TG,8580,2023,162800,1000.0,0,0,0,1,0-50k,1000.0,47.54876708984375,9.304634094238281
1705078084-230,M340i xDriveTouring Steptronic M Sport,ZH,8542,2020,57900,37400.0,0,0,1,1,0-50k,9350.0,47.521392822265625,8.794527053833008
1705078088-231,320d xDrive M Sport Steptronic,SG,9466,2019,34998,122000.0,0,0,1,1,120k+,24400.0,47.260658264160156,9.524354934692383
1705078088-232,320d Touring more4you Steptronic,BE,4564,2009,6900,173000.0,0,0,0,1,120k+,11533.33,47.15623092651367,7.5845112800598145
1705078088-233,318d Touring Sport Line Steptronic,SO,4512,2014,9600,262000.0,0,0,0,1,120k+,26200.0,47.21414566040039,7.507473468780518
1705078088-234,M550d xDrive Steptronic,SO,4632,2016,32900,128250.0,0,0,1,1,120k+,16031.25,47.35901641845703,7.872495651245117
1705078088-235,M3 Coupé DSG,ZH,8046,2011,66900,71000.0,0,0,0,1,50-120k,5461.54,47.4151725769043,8.527069091796875
1705078088-236,M4 Coupé Competition,AG,5452,2021,84000,43000.0,0,1,0,1,0-50k,14333.33,47.4180908203125,8.31387996673584
1705078088-237,X5 xDrive M50d Steptronic,BE,3627,2019,58500,155000.0,0,0,1,1,120k+,31000.0,46.783729553222656,7.604698657989502
1705078088-238,320d xDrive 48V Steptronic,ZH,8604,2021,32980,33590.0,0,0,1,1,0-50k,11196.67,47.39078140258789,8.661730766296387
1705078088-239,M440i xDrive 48V Cabriolet Steptronic,FR,1726,2023,79900,4400.0,0,0,1,1,0-50k,4400.0,46.718807220458984,7.061389446258545
1705078088-240,520d xDrive Touring Steptronic,AG,5417,2019,31900,87100.0,0,0,1,1,50-120k,17420.0,47.50249099731445,8.241069793701172
1705078091-241,X4 xDrive 28i Steptronic,BE,3852,2017,34900,79000.0,0,0,1,1,50-120k,11285.71,46.70412063598633,7.897862911224365
1705078091-242,525d Touring xDrive Luxury Line Steptronic,VD,1046,2015,24500,118000.0,1,0,1,1,50-120k,13111.11,46.693641662597656,6.693017482757568
1705078091-243,528i Touring xDrive Steptronic,ZH,8108,2015,16900,153000.0,0,0,1,1,120k+,17000.0,47.44398498535156,8.441779136657715
1705078091-244,320d xDrive Touring,VS,3977,2011,2400,220000.0,0,0,1,0,120k+,16923.08,46.259552001953125,7.446905612945557
1705078091-245,X5 xDrive 48V 40d M Sport Steptronic,FR,3178,2022,77999,22000.0,0,0,1,1,0-50k,11000.0,46.89778137207031,7.229503631591797
1705078091-246,320d xDrive Touring Modern Line Steptronic,BE,4900,2014,12700,157000.0,0,0,1,1,120k+,15700.0,47.213680267333984,7.771233081817627
1705078091-247,X5 xDrive M50d Edition 20 Jahre Steptronic,BE,3627,2019,75500,72000.0,0,0,1,1,50-120k,14400.0,46.783729553222656,7.604698657989502
1705078091-248,320i M Sport Steptronic,BE,3422,2017,26000,82000.0,0,0,0,1,50-120k,11714.29,47.09091567993164,7.562155246734619
1705078091-249,525d xDrive Touring Steptronic,TI,6834,2013,18999,93000.0,0,0,1,1,50-120k,8454.55,45.84804153442383,9.030059814453125
1705078091-250,X5 xDrive 40d Steptronic,SG,9434,2014,26999,191000.0,0,0,1,1,120k+,19100.0,47.43368148803711,9.634199142456055
1705078095-251,X4 xDrive 35i Steptronic,LU,6012,2015,27930,118540.0,0,0,1,1,50-120k,13171.11,47.02312088012695,8.2351655960083
1705078095-252,M140i xDrive Steptronic,SG,9450,2019,32800,47000.0,0,0,1,1,0-50k,9400.0,47.378875732421875,9.540489196777344
1705078095-253,525d Touring,SO,4600,2010,8900,249000.0,0,0,0,1,120k+,17785.71,47.34663772583008,7.914158344268799
1705078095-254,X3 xDrive 20d Steptronic,BL,4242,2013,14900,183000.0,0,0,1,1,120k+,16636.36,47.42108917236328,7.507843494415283
1705078095-255,M5 xDrive  Competition Drivelogic,SG,8887,2020,89900,57000.0,0,1,1,1,50-120k,14250.0,47.04740905761719,9.419466972351074
1705078095-256,320d xDrive Dynamic Edition Steptronic,LU,6210,2012,16900,69000.0,0,0,1,1,50-120k,5750.0,47.189144134521484,8.099066734313965
1705078095-257,X3 xDrive 20i Steptronic,ZH,8320,2015,17900,179500.0,0,0,1,1,120k+,19944.44,47.38344955444336,8.759125709533691
1705078095-258,528i Touring xDrive Steptronic,SH,8203,2014,18500,161000.0,0,0,1,1,120k+,16100.0,47.69520568847656,8.649420738220215
1705078095-259,X5 xDrive 50e Steptronic,ZH,8404,2023,76900,17999.0,0,0,1,1,0-50k,17999.0,47.51799392700195,8.762868881225586
1705078095-260,i3 (94Ah),ZH,8305,2018,15900,61500.0,0,0,0,1,50-120k,10250.0,47.41460037231445,8.622008323669434
1705078099-261,M340i xDriveTouring Steptronic M Sport,SH,8207,2020,53900,36999.0,0,0,1,1,0-50k,9249.75,47.720497131347656,8.66555118560791
1705078099-262,X3 xDrive 30e,ZH,8032,8032,85800,,0,0,1,1,,,47.36629867553711,8.562403678894043
1705078099-263,223d Active Tourer xDrive M Sport DKG,GR,7000,7000,66900,,0,0,1,1,,,46.864017486572266,9.535412788391113
1705078099-264,X5 xDrive 48V M60i M Sport Pro Steptronic,GR,7000,7000,151100,,0,0,1,1,,,46.864017486572266,9.535412788391113
1705078099-265,335i Cabriolet,SG,8730,2010,23600,105000.0,0,0,0,1,50-120k,7500.0,47.21653366088867,8.969256401062012
1705078099-266,M3 Touring xDrive Competition M,GR,7000,7000,131400,,0,1,1,1,,,46.864017486572266,9.535412788391113
1705078099-267,X1 xDrive 20d 48V M Sport,FR,1726,2023,54900,29000.0,0,0,1,1,0-50k,29000.0,46.718807220458984,7.061389446258545
